Elevation,Aspect,Slope,new_col1,a_sum
2873,130,16,28730,145
3182,49,13,31820,61
2998,102,12,29980,113
2658,357,20,26580,376
3175,15,7,31750,21
2952,8,7,29520,14
2622,95,12,26220,106
2955,288,21,29550,308
2837,66,9,28370,74
3182,45,3,31820,47
3077,129,3,30770,131
2755,320,4,27550,323
3047,28,11,30470,38
2880,86,12,28800,97
3221,292,3,32210,294
3182,115,10,31820,124
3064,29,24,30640,52
2827,332,15,28270,346
2518,107,5,25180,111
3050,180,4,30500,183
3107,356,12,31070,367
2995,173,15,29950,187
2721,164,4,27210,167
3182,116,7,31820,122
2724,132,11,27240,142
2515,90,9,25150,98
3017,46,22,30170,67
3077,256,4,30770,259
2929,338,8,29290,345
2735,127,12,27350,138
2893,319,20,28930,338
3231,45,4,32310,48
2560,89,10,25600,98
3162,43,15,31620,57
2982,188,14,29820,201
2731,66,5,27310,70
3172,50,11,31720,60
2916,138,21,29160,158
2890,63,17,28900,79
2704,45,10,27040,54
3198,23,18,31980,40
2985,214,5,29850,218
3011,323,21,30110,343
3024,312,18,30240,329
2763,7,12,27630,18
3244,56,16,32440,71
2955,9,10,29550,18
3201,10,13,32010,22
2972,36,25,29720,60
2985,167,13,29850,179
2539,23,17,25390,39
3001,260,8,30010,267
2952,51,10,29520,60
2962,211,13,29620,223
3004,0,12,30040,11
2727,45,4,27270,48
3004,167,17,30040,183
2886,22,8,28860,29
3024,344,8,30240,351
3034,187,14,30340,200
2903,279,13,29030,291
2926,245,4,29260,248
2942,200,16,29420,215
2991,54,13,29910,66
2742,116,9,27420,124
2606,356,18,26060,373
3244,326,5,32440,330
3237,27,14,32370,40
2616,359,24,26160,382
2913,16,11,29130,26
2813,48,7,28130,54
2530,149,1,25300,149
3260,45,7,32600,51
3047,90,3,30470,92
2955,60,20,29550,79
2893,77,13,28930,89
2965,38,24,29650,61
3037,230,15,30370,244
3027,152,10,30270,161
2756,70,16,27560,85
2939,325,6,29390,330
3198,126,9,31980,134
3195,90,7,31950,96
2975,222,6,29750,227
2890,84,13,28900,96
3018,109,10,30180,118
3011,85,5,30110,89
3221,79,16,32210,94
3004,135,7,30040,141
2572,49,20,25720,68
3260,128,11,32600,138
3168,25,4,31680,28
2878,349,12,28780,360
3198,9,8,31980,16
2975,260,8,29750,267
3178,38,10,31780,47
2995,176,10,29950,185
2913,144,8,29130,151
2982,175,9,29820,183
2945,209,12,29450,220
2995,143,2,29950,144
2942,0,3,29420,2
2945,288,5,29450,292
2959,288,8,29590,295
2796,114,13,27960,126
2785,315,2,27850,316
2784,325,17,27840,341
2789,320,15,27890,334
2922,162,19,29220,180
3008,135,3,30080,137
2978,73,10,29780,82
2892,54,11,28920,64
2521,45,10,25210,54
2985,72,7,29850,78
3057,39,19,30570,57
2829,78,9,28290,86
3201,331,5,32010,335
3136,329,13,31360,341
2548,355,14,25480,368
2962,89,9,29620,97
2808,15,13,28080,27
2749,87,12,27490,98
3155,328,14,31550,341
2991,285,11,29910,295
2968,108,5,29680,112
2932,77,13,29320,89
2808,356,7,28080,362
2794,106,4,27940,109
3080,24,17,30800,40
2936,52,16,29360,67
2913,261,10,29130,270
2919,232,8,29190,239
2978,257,6,29780,262
2574,312,14,25740,325
3142,59,21,31420,79
2804,15,10,28040,24
2595,9,14,25950,22
2929,232,8,29290,239
3001,246,9,30010,254
2813,94,7,28130,100
2988,342,6,29880,347
3175,59,18,31750,76
2861,0,6,28610,5
2804,61,7,28040,67
3001,78,10,30010,87
2914,141,9,29140,149
2668,41,17,26680,57
3185,129,12,31850,140
2913,216,9,29130,224
3168,72,5,31680,76
2955,30,9,29550,38
2932,100,7,29320,106
3234,0,11,32340,10
3201,53,7,32010,59
2903,236,5,29030,240
2874,352,2,28740,353
2903,254,6,29030,259
2800,45,12,28000,56
3257,336,9,32570,344
3188,278,5,31880,282
2952,62,8,29520,69
2932,237,16,29320,252
3050,281,4,30500,284
2955,285,11,29550,295
2791,41,17,27910,57
3172,162,3,31720,164
3116,69,14,31160,82
2895,51,10,28950,60
3182,122,6,31820,127
3024,81,9,30240,89
2962,251,9,29620,259
2978,27,4,29780,30
2952,40,12,29520,51
2945,348,13,29450,360
3149,188,7,31490,194
2833,150,15,28330,164
3136,185,10,31360,194
2851,49,13,28510,61
2933,111,8,29330,118
2810,110,6,28100,115
3267,85,10,32670,94
3188,30,16,31880,45
2955,37,5,29550,41
3001,276,9,30010,284
3008,281,10,30080,290
2942,28,5,29420,32
2921,331,9,29210,339
2985,315,5,29850,319
2978,289,14,29780,302
2889,51,20,28890,70
2814,103,3,28140,105
2938,127,9,29380,135
2828,95,11,28280,105
3146,95,12,31460,106
2977,94,8,29770,101
3034,45,2,30340,46
3083,61,19,30830,79
3044,23,5,30440,27
2982,90,8,29820,97
2901,176,15,29010,190
2995,66,6,29950,71
2528,151,6,25280,156
3188,112,8,31880,119
2939,243,24,29390,266
3008,215,11,30080,225
3021,238,9,30210,246
2937,80,11,29370,90
2844,317,10,28440,326
2781,13,3,27810,15
2945,252,18,29450,269
2857,143,12,28570,154
3021,53,7,30210,59
2919,141,3,29190,143
2800,185,9,28000,193
2773,151,18,27730,168
2759,144,17,27590,160
2714,117,20,27140,136
2671,109,26,26710,134
2975,126,9,29750,134
2775,148,19,27750,166
2746,149,18,27460,166
2743,148,19,27430,166
2717,108,16,27170,123
2751,136,14,27510,149
2739,131,14,27390,144
2733,133,16,27330,148
2716,117,15,27160,131
2611,99,14,26110,112
3073,123,11,30730,133
3060,167,18,30600,184
2899,120,8,28990,127
2861,107,8,28610,114
2853,351,3,28530,353
2785,202,8,27850,209
2723,127,16,27230,142
2656,110,23,26560,132
3064,194,10,30640,203
3050,167,16,30500,182
3004,141,13,30040,153
2952,58,10,29520,67
3034,68,12,30340,79
2703,130,20,27030,149
2685,128,23,26850,150
2661,119,25,26610,143
3057,101,4,30570,104
3050,139,13,30500,151
3060,342,5,30600,346
2945,49,14,29450,62
2704,123,18,27040,140
2676,129,24,26760,152
2621,81,14,26210,94
3060,45,13,30600,57
2975,136,15,29750,150
3067,21,4,30670,24
2719,128,16,27190,143
2638,86,15,26380,100
2700,115,19,27000,133
2673,108,22,26730,129
2654,71,11,26540,81
2664,50,12,26640,61
3050,80,8,30500,87
2858,125,8,28580,132
2854,163,9,28540,171
3047,56,11,30470,66
2873,351,6,28730,356
2680,23,12,26800,34
2676,9,14,26760,22
2678,9,15,26780,23
2839,120,9,28390,128
2792,86,7,27920,92
3103,74,11,31030,84
2995,6,14,29950,19
2702,90,1,27020,90
2991,282,8,29910,289
3004,31,6,30040,36
2919,117,6,29190,122
2945,258,14,29450,271
3054,270,1,30540,270
2978,75,5,29780,79
2915,81,8,29150,88
2756,30,4,27560,33
2717,155,4,27170,158
2928,315,1,29280,315
2770,95,3,27700,97
2656,77,23,26560,99
2750,124,5,27500,128
2907,45,7,29070,51
2781,65,13,27810,77
2715,203,5,27150,207
2968,338,11,29680,348
2739,130,8,27390,137
2922,129,3,29220,131
2792,101,6,27920,106
3064,90,8,30640,97
3041,243,14,30410,256
2888,32,8,28880,39
3080,180,1,30800,180
2613,132,27,26130,158
2978,135,4,29780,138
2952,353,12,29520,364
2773,81,14,27730,94
3057,90,8,30570,97
3064,45,16,30640,60
2742,174,9,27420,182
2677,167,16,26770,182
2567,140,18,25670,157
2739,142,6,27390,147
3001,267,14,30010,280
3014,5,31,30140,35
2584,343,13,25840,355
2902,104,6,29020,109
3047,155,9,30470,163
2909,212,6,29090,217
2910,198,5,29100,202
3011,108,10,30110,117
2998,68,8,29980,75
3011,263,12,30110,274
3008,24,12,30080,35
3004,18,10,30040,27
3031,81,6,30310,86
2939,288,5,29390,292
2949,277,12,29490,288
3028,323,9,30280,331
2900,315,1,29000,315
2932,96,7,29320,102
2909,72,5,29090,76
2909,0,3,29090,2
2900,180,3,29000,182
2867,143,12,28670,154
3047,356,10,30470,365
2617,15,14,26170,28
2998,340,7,29980,346
2962,276,7,29620,282
2759,160,12,27590,171
2646,9,33,26460,41
3027,217,17,30270,233
2963,121,13,29630,133
2919,117,15,29190,131
2690,343,24,26900,366
2660,3,9,26600,11
2955,235,21,29550,255
2953,120,13,29530,132
2887,124,17,28870,140
3014,338,8,30140,345
2995,62,11,29950,72
2965,142,6,29650,147
2982,47,9,29820,55
2739,311,10,27390,320
2983,5,5,29830,9
2916,243,3,29160,245
3047,135,3,30470,137
2751,270,2,27510,271
2690,318,7,26900,324
2599,89,10,25990,98
2919,264,7,29190,270
2975,253,12,29750,264
2617,83,9,26170,91
2574,92,7,25740,98
2939,19,11,29390,29
2915,45,10,29150,54
2765,41,5,27650,45
2784,348,13,27840,360
2850,108,22,28500,129
2919,236,7,29190,242
2995,233,14,29950,246
2817,32,15,28170,46
2932,18,2,29320,19
2826,11,7,28260,17
2795,47,10,27950,56
2760,62,5,27600,66
2700,76,9,27000,84
3001,238,9,30010,246
2699,165,3,26990,167
2730,79,6,27300,84
2655,82,8,26550,89
2644,46,14,26440,59
2998,252,12,29980,263
2854,28,8,28540,35
2809,63,8,28090,70
2633,94,19,26330,112
2588,152,10,25880,161
2811,84,10,28110,93
2926,208,15,29260,222
2839,71,14,28390,84
2689,179,11,26890,189
3015,66,19,30150,84
2995,62,14,29950,75
2938,159,7,29380,165
2929,130,8,29290,137
2851,107,11,28510,117
2949,122,14,29490,135
2596,33,14,25960,46
2939,45,8,29390,52
2805,44,17,28050,60
3074,52,9,30740,60
2932,54,16,29320,69
2868,29,20,28680,48
2864,128,8,28640,135
2946,352,14,29460,365
3021,25,12,30210,36
3018,49,14,30180,62
2863,193,6,28630,198
2978,156,6,29780,161
2945,63,12,29450,74
2618,7,18,26180,24
2968,120,9,29680,128
2734,93,5,27340,97
2728,83,11,27280,93
2762,190,5,27620,194
2922,270,5,29220,274
2926,61,11,29260,71
2962,346,6,29620,351
2624,183,27,26240,209
2917,107,5,29170,111
2644,345,3,26440,347
2645,45,4,26450,48
3024,24,16,30240,39
2651,40,14,26510,53
2936,231,7,29360,237
2813,127,14,28130,140
2617,344,19,26170,362
2952,281,5,29520,285
2968,286,17,29680,302
2992,228,6,29920,233
2976,124,9,29760,132
2796,131,9,27960,139
2955,311,9,29550,319
2917,175,13,29170,187
2821,72,20,28210,91
2794,179,20,27940,198
2661,266,4,26610,269
2793,119,17,27930,135
2976,315,19,29760,333
2807,115,21,28070,135
3109,87,13,31090,99
3109,53,7,31090,59
2792,109,19,27920,127
2775,121,16,27750,136
3113,14,13,31130,26
2919,341,9,29190,349
2757,129,12,27570,140
2952,41,14,29520,54
2764,91,15,27640,105
2753,109,19,27530,127
2744,122,19,27440,140
2736,138,18,27360,155
2954,156,10,29540,165
2662,138,23,26620,160
2988,69,14,29880,82
2965,72,14,29650,85
2663,118,21,26630,138
2600,64,10,26000,73
2942,71,16,29420,86
2718,90,18,27180,107
2695,168,19,26950,186
2669,31,3,26690,33
2753,103,20,27530,122
2721,101,18,27210,118
2686,142,10,26860,151
2676,119,5,26760,123
2610,135,6,26100,140
2706,137,18,27060,154
2709,323,24,27090,346
2676,66,3,26760,68
3201,70,8,32010,77
2688,120,7,26880,126
2685,11,2,26850,12
2684,347,6,26840,352
2714,329,25,27140,353
2766,38,5,27660,42
2695,101,10,26950,110
2690,35,6,26900,40
2769,7,9,27690,15
2795,126,24,27950,149
2740,332,27,27400,358
3009,238,7,30090,244
2964,84,19,29640,102
2783,332,30,27830,361
2781,56,9,27810,64
2775,40,8,27750,47
2781,39,3,27810,41
2593,7,8,25930,14
3149,120,13,31490,132
3044,345,5,30440,349
2919,76,4,29190,79
2786,52,11,27860,62
2780,13,8,27800,20
2780,350,9,27800,358
2872,79,9,28720,87
2796,27,2,27960,28
2790,54,10,27900,63
2769,107,11,27690,117
2719,48,7,27190,54
2763,357,23,27630,379
3011,73,9,30110,81
2955,65,13,29550,77
3149,135,7,31490,141
2808,112,9,28080,120
2811,352,13,28110,364
3205,60,5,32050,64
2892,48,23,28920,70
2922,293,14,29220,306
2828,352,23,28280,374
2598,327,7,25980,333
2972,348,10,29720,357
2834,348,26,28340,373
2810,42,14,28100,55
2684,141,17,26840,157
2613,39,9,26130,47
2647,234,2,26470,235
2667,95,9,26670,103
2942,305,8,29420,312
2971,340,15,29710,354
2822,308,5,28220,312
2661,60,11,26610,70
2687,338,10,26870,347
3103,85,8,31030,92
3034,50,22,30340,71
2682,28,19,26820,46
2876,343,22,28760,364
2802,358,6,28020,363
2958,39,25,29580,63
2890,20,16,28900,35
2707,5,18,27070,22
2706,9,21,27060,29
2702,27,22,27020,48
2686,29,23,26860,51
2727,52,17,27270,68
2720,36,17,27200,52
2733,44,13,27330,56
2724,349,15,27240,363
2619,13,4,26190,16
3195,83,11,31950,93
3139,106,6,31390,111
2929,44,16,29290,59
2849,293,22,28490,314
2733,90,5,27330,94
2803,333,20,28030,352
2931,4,12,29310,15
2871,82,14,28710,95
2737,99,13,27370,111
2730,135,1,27300,135
2653,332,13,26530,344
2655,21,13,26550,33
2659,332,13,26590,344
2665,0,10,26650,9
2871,92,32,28710,123
2988,217,7,29880,223
2920,316,29,29200,344
2718,63,17,27180,79
2682,66,8,26820,73
2662,324,6,26620,329
3096,49,14,30960,62
2975,38,11,29750,48
2653,93,12,26530,104
2876,314,26,28760,339
2969,35,4,29690,38
2662,119,10,26620,128
2919,108,7,29190,114
2738,270,12,27380,281
2673,27,23,26730,49
2696,276,11,26960,286
2694,56,14,26940,69
3024,56,17,30240,72
2986,174,18,29860,191
2860,332,5,28600,336
2690,40,11,26900,50
2987,169,17,29870,185
2787,96,17,27870,112
2934,299,25,29340,323
2712,304,7,27120,310
2954,160,13,29540,172
2750,68,7,27500,74
3044,57,16,30440,72
2719,52,10,27190,61
2764,76,7,27640,82
3034,61,17,30340,77
2753,230,14,27530,243
3109,26,7,31090,32
2936,100,13,29360,112
2875,331,15,28750,345
2878,273,20,28780,292
2856,66,14,28560,79
2976,211,7,29760,217
2747,9,6,27470,14
2703,47,8,27030,54
3073,99,20,30730,118
2932,93,9,29320,101
2889,323,24,28890,346
3146,85,9,31460,93
2651,64,9,26510,72
2942,170,12,29420,181
2534,108,2,25340,109
2774,10,7,27740,16
2732,43,9,27320,51
2916,228,12,29160,239
2744,118,18,27440,135
2711,171,6,27110,176
3021,68,8,30210,75
3032,87,12,30320,98
2904,53,26,29040,78
2866,122,6,28660,127
2539,24,6,25390,29
2895,357,13,28950,369
2903,146,10,29030,155
3086,123,10,30860,132
3083,45,5,30830,49
2924,9,6,29240,14
2740,56,15,27400,70
3109,60,16,31090,75
2935,7,16,29350,22
2914,104,4,29140,107
2686,45,2,26860,46
2564,44,18,25640,61
3010,203,16,30100,218
2753,111,6,27530,116
2719,6,5,27190,10
2699,45,1,26990,45
2925,82,5,29250,86
2821,102,13,28210,114
2754,101,11,27540,111
2693,5,12,26930,16
2674,344,7,26740,350
3178,83,6,31780,88
2826,76,13,28260,88
2725,95,8,27250,102
2961,97,20,29610,116
2939,88,7,29390,94
2761,181,10,27610,190
2764,148,6,27640,153
2971,322,22,29710,343
2992,355,8,29920,362
2525,80,7,25250,86
2750,60,4,27500,63
2742,345,7,27420,351
2695,15,7,26950,21
2993,346,10,29930,355
2972,0,16,29720,15
2931,30,14,29310,43
2868,188,2,28680,189
2976,252,3,29760,254
2926,67,12,29260,78
2853,293,9,28530,301
2719,126,11,27190,136
2624,109,14,26240,122
2985,90,9,29850,98
2909,77,10,29090,86
2911,130,30,29110,159
2780,357,14,27800,370
2854,338,7,28540,344
2856,2,14,28560,15
2997,315,5,29970,319
3152,65,9,31520,73
2945,76,10,29450,85
2821,63,14,28210,76
3002,166,4,30020,169
3030,81,14,30300,94
3041,125,13,30410,137
2878,339,20,28780,358
2770,51,12,27700,62
2733,89,15,27330,103
3159,62,15,31590,76
3123,94,12,31230,105
2673,69,14,26730,82
2787,99,9,27870,107
2544,86,7,25440,92
3162,55,10,31620,64
2998,151,24,29980,174
2972,37,7,29720,43
2859,113,5,28590,117
2851,43,17,28510,59
2601,48,11,26010,58
2814,5,9,28140,13
3025,96,7,30250,102
2955,3,13,29550,15
2869,325,15,28690,339
3067,133,11,30670,143
2905,248,3,29050,250
3001,17,6,30010,22
2712,72,12,27120,83
3050,72,10,30500,81
2882,37,10,28820,46
2962,108,9,29620,116
2762,357,9,27620,365
3041,144,12,30410,155
2984,132,11,29840,142
3090,131,14,30900,144
3008,356,16,30080,371
2900,66,17,29000,82
3014,234,21,30140,254
2898,254,7,28980,260
2898,114,3,28980,116
2834,32,15,28340,46
2780,96,5,27800,100
2896,276,7,28960,282
2898,352,3,28980,354
2838,322,14,28380,335
2802,91,11,28020,101
2891,292,8,28910,299
2902,342,3,29020,344
2853,39,10,28530,48
3025,194,15,30250,208
2960,104,20,29600,123
2932,113,15,29320,127
2896,351,8,28960,358
2905,353,8,29050,360
2921,258,20,29210,277
3046,335,15,30460,349
2752,68,11,27520,78
2904,9,13,29040,21
2906,87,10,29060,96
2756,81,10,27560,90
2666,63,14,26660,76
2654,78,11,26540,88
2975,354,40,29750,393
3131,318,13,31310,330
2913,321,16,29130,336
2908,198,2,29080,199
2910,266,4,29100,269
2770,68,3,27700,70
2914,113,11,29140,123
2905,329,1,29050,329
2917,280,11,29170,290
2924,270,10,29240,279
2987,236,21,29870,256
2999,347,13,29990,359
2878,290,12,28780,301
2915,297,5,29150,301
2918,310,11,29180,320
2925,205,5,29250,209
2942,5,11,29420,15
2918,8,7,29180,14
2931,267,16,29310,282
2997,351,6,29970,356
3037,346,13,30370,358
2929,75,15,29290,89
3174,350,13,31740,362
3082,79,2,30820,80
2841,96,5,28410,100
2928,294,6,29280,299
2939,288,10,29390,297
3103,356,12,31030,367
3096,73,11,30960,83
3064,59,8,30640,66
2917,50,11,29170,60
2920,295,9,29200,303
2935,32,12,29350,43
3129,38,11,31290,48
2924,53,14,29240,66
2929,302,16,29290,317
2936,22,11,29360,32
2938,0,5,29380,4
3004,273,14,30040,286
3168,203,6,31680,208
3130,110,12,31300,121
2775,191,9,27750,199
2744,81,11,27440,91
2698,71,14,26980,84
2927,68,11,29270,78
2941,16,8,29410,23
2942,350,9,29420,358
3112,133,12,31120,144
2931,114,6,29310,119
2944,0,10,29440,9
2948,1,15,29480,15
3038,13,9,30380,21
2953,13,18,29530,30
2954,344,16,29540,359
2959,358,17,29590,374
2980,66,15,29800,80
2749,169,4,27490,172
2943,282,13,29430,294
2969,2,17,29690,18
3156,84,16,31560,99
3060,95,22,30600,116
2976,348,13,29760,360
2948,79,15,29480,93
2851,323,11,28510,333
2937,325,4,29370,328
3104,50,11,31040,60
2753,75,5,27530,79
2666,132,12,26660,143
2955,26,8,29550,33
2953,19,9,29530,27
3129,44,13,31290,56
2996,34,11,29960,44
2859,125,18,28590,142
2979,265,10,29790,274
2955,86,9,29550,94
2948,310,8,29480,317
3146,84,7,31460,90
2683,98,18,26830,115
3159,346,12,31590,357
2952,54,4,29520,57
2950,328,9,29500,336
2953,323,9,29530,331
2861,164,9,28610,172
3165,343,13,31650,355
2952,27,5,29520,31
2954,38,5,29540,42
2952,280,4,29520,283
2957,270,5,29570,274
2957,255,3,29570,257
3188,101,8,31880,108
2955,27,8,29550,34
2951,84,2,29510,85
3111,98,8,31110,105
2952,55,4,29520,58
2953,270,1,29530,270
3121,316,16,31210,331
2855,54,19,28550,72
2746,43,16,27460,58
3124,109,11,31240,119
2963,300,8,29630,307
3112,338,8,31120,345
2926,18,10,29260,27
2811,114,8,28110,121
2656,72,15,26560,86
3064,117,20,30640,136
3014,326,9,30140,334
2917,317,12,29170,328
3031,234,11,30310,244
3138,313,13,31380,325
3098,112,9,30980,120
3032,349,10,30320,358
2982,10,18,29820,27
3032,339,14,30320,352
2896,72,16,28960,87
2846,135,2,28460,136
2995,39,18,29950,56
2795,144,11,27950,154
2955,141,10,29550,150
3132,48,7,31320,54
3241,202,12,32410,213
3057,86,20,30570,105
2977,95,10,29770,104
2976,87,8,29760,94
2755,45,9,27550,53
3160,209,10,31600,218
2954,45,9,29540,53
2780,352,2,27800,353
2940,90,4,29400,93
2943,169,1,29430,169
3099,290,21,30990,310
2895,327,15,28950,341
2779,15,7,27790,21
2595,37,18,25950,54
2951,112,7,29510,118
3005,259,16,30050,274
3035,352,7,30350,358
3113,77,16,31130,92
3083,357,20,30830,376
3049,268,18,30490,285
3144,62,4,31440,65
3049,241,2,30490,242
3170,14,12,31700,25
3054,63,5,30540,67
3052,311,14,30520,324
2977,346,10,29770,355
2827,71,19,28270,89
2801,8,15,28010,22
2653,89,20,26530,108
3185,169,8,31850,176
3105,350,7,31050,356
2922,103,18,29220,120
2979,87,5,29790,91
3167,15,7,31670,21
2898,196,6,28980,201
3157,240,11,31570,250
2814,355,13,28140,367
3221,135,2,32210,136
3073,78,8,30730,85
3013,77,25,30130,101
2959,239,8,29590,246
2978,261,17,29780,277
2876,116,9,28760,124
3166,230,7,31660,236
2763,83,14,27630,96
2965,352,3,29650,354
3025,62,16,30250,77
2683,89,13,26830,101
2865,180,11,28650,190
2980,59,8,29800,66
2861,159,7,28610,165
2679,66,11,26790,76
3137,247,7,31370,253
2970,73,13,29700,85
2928,346,12,29280,357
2975,108,1,29750,108
2986,295,10,29860,304
2717,72,12,27170,83
3157,146,5,31570,150
2978,315,6,29780,320
2954,53,7,29540,59
3105,341,14,31050,354
3109,261,12,31090,272
3107,293,5,31070,297
2958,34,7,29580,40
2668,64,13,26680,76
3114,283,6,31140,288
3001,57,18,30010,74
2963,53,9,29630,61
3005,301,1,30050,301
3008,117,3,30080,119
3118,176,13,31180,188
3020,20,18,30200,37
2946,309,23,29460,331
2893,127,9,28930,135
3106,50,7,31060,56
2942,356,7,29420,362
2941,32,4,29410,35
3066,179,12,30660,190
3052,115,14,30520,128
3183,37,14,31830,50
3014,101,8,30140,108
3048,260,11,30480,270
2960,84,10,29600,93
2929,282,12,29290,293
3042,274,8,30420,281
2908,14,12,29080,25
2881,59,12,28810,70
2888,55,9,28880,63
2782,42,6,27820,47
3246,80,7,32460,86
3218,111,8,32180,118
3145,245,16,31450,260
2976,30,11,29760,40
3184,109,10,31840,118
2788,77,9,27880,85
3035,98,16,30350,113
3002,358,7,30020,364
2944,111,8,29440,118
2789,57,8,27890,64
3079,57,8,30790,64
3112,63,23,31120,85
3061,276,5,30610,280
3017,17,11,30170,27
2808,139,14,28080,152
3289,251,10,32890,260
2943,82,3,29430,84
2904,137,10,29040,146
3152,69,11,31520,79
3221,226,13,32210,238
3027,18,5,30270,22
2813,117,13,28130,129
3105,66,8,31050,73
3226,41,15,32260,55
2952,0,4,29520,3
3168,250,18,31680,267
3173,58,16,31730,73
3156,30,11,31560,40
3038,40,7,30380,46
2869,62,15,28690,76
2747,4,13,27470,16
2722,8,19,27220,26
3079,0,6,30790,5
3121,55,10,31210,64
3171,215,13,31710,227
3007,16,7,30070,22
3080,315,16,30800,330
3215,41,10,32150,50
3102,95,11,31020,105
3121,243,7,31210,249
3236,63,5,32360,67
3072,53,7,30720,59
3056,0,3,30560,2
3018,15,5,30180,19
3058,13,4,30580,16
3091,59,13,30910,71
3291,27,10,32910,36
3087,52,17,30870,68
3033,45,7,30330,51
2827,330,18,28270,347
3074,53,11,30740,63
3157,79,8,31570,86
3018,33,7,30180,39
2962,100,18,29620,117
3155,359,12,31550,370
3123,42,13,31230,54
3094,352,5,30940,356
2861,0,4,28610,3
3122,52,11,31220,62
3041,63,4,30410,66
2877,342,13,28770,354
2728,88,14,27280,101
2714,73,19,27140,91
3145,42,18,31450,59
2717,70,18,27170,87
2751,76,17,27510,92
2711,67,20,27110,86
2695,54,13,26950,66
2686,41,9,26860,49
